;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Status Quo;;FW-Szenario 1 - Nur Versorgung der Altstadt;;;;;;;FW-Szenario 2  - Versorgung von Altstadt & Zusmmenschluss WHHW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;9;693;;678;966;1.242;1.503;1.753;1.992;;678;966;1.499;2.723;3.196;3.648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;10;670;;673;958;1.232;1.491;1.739;1.976;;673;958;1.487;2.701;3.170;3.619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;11;640;;668;950;1.222;1.479;1.725;1.960;;668;950;1.475;2.679;3.145;3.590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;12;602;;662;943;1.212;1.467;1.711;1.944;;662;943;1.463;2.657;3.119;3.561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;13;578;;657;935;1.202;1.455;1.697;1.928;;657;935;1.451;2.636;3.094;3.532;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;14;550;;652;928;1.193;1.444;1.684;1.913;;652;928;1.440;2.615;3.070;3.504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;15;536;;646;920;1.183;1.432;1.670;1.898;;646;920;1.428;2.594;3.045;3.476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;16;500;;642;914;1.175;1.422;1.659;1.885;;642;914;1.418;2.577;3.025;3.453;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;17;476;;638;909;1.168;1.414;1.649;1.873;;638;909;1.410;2.561;3.006;3.431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;18;457;;635;904;1.162;1.406;1.640;1.863;;635;904;1.402;2.547;2.990;3.413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;19;396;;632;899;1.156;1.399;1.632;1.854;;632;899;1.395;2.535;2.975;3.396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;20;435;;630;896;1.152;1.394;1.626;1.848;;630;896;1.390;2.526;2.965;3.384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;21;425;;628;893;1.148;1.390;1.621;1.842;;628;893;1.386;2.518;2.956;3.374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;22;412;;626;891;1.145;1.386;1.617;1.837;;626;891;1.382;2.511;2.948;3.365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;23;390;;624;889;1.143;1.383;1.613;1.833;;624;889;1.379;2.505;2.941;3.357;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;24;336;;623;887;1.140;1.380;1.610;1.829;;623;887;1.376;2.500;2.935;3.350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;1;330;;623;886;1.139;1.379;1.608;1.827;;623;886;1.375;2.498;2.932;3.347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;2;322;;622;886;1.139;1.378;1.608;1.827;;622;886;1.375;2.497;2.931;3.346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;3;329;;623;886;1.139;1.379;1.608;1.827;;623;886;1.375;2.498;2.932;3.347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;4;323;;623;887;1.140;1.380;1.610;1.829;;623;887;1.376;2.500;2.935;3.350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;5;330;;624;889;1.142;1.382;1.612;1.832;;624;889;1.379;2.504;2.940;3.356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;6;352;;626;891;1.145;1.386;1.616;1.836;;626;891;1.382;2.510;2.947;3.364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;7;488;;627;893;1.148;1.389;1.620;1.841;;627;893;1.385;2.517;2.954;3.372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;8;555;;630;897;1.152;1.395;1.627;1.849;;630;897;1.391;2.527;2.966;3.386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;9;605;;633;901;1.158;1.401;1.634;1.857;;633;901;1.397;2.538;2.979;3.401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;10;582;;636;906;1.165;1.409;1.644;1.868;;636;906;1.406;2.553;2.997;3.421;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;11;550;;641;912;1.173;1.420;1.656;1.881;;641;912;1.416;2.572;3.019;3.446;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;12;515;;646;920;1.183;1.432;1.670;1.898;;646;920;1.428;2.594;3.045;3.476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;13;493;;653;929;1.194;1.446;1.686;1.916;;653;929;1.442;2.619;3.074;3.509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;14;464;;659;939;1.207;1.460;1.703;1.935;;659;939;1.456;2.646;3.106;3.545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;15;465;;667;949;1.220;1.477;1.723;1.958;;667;949;1.473;2.676;3.141;3.586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;16;434;;674;959;1.233;1.493;1.741;1.978;;674;959;1.488;2.704;3.174;3.623;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;17;419;;681;970;1.246;1.509;1.760;1.999;;681;970;1.504;2.733;3.208;3.662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;18;407;;688;979;1.259;1.524;1.777;2.020;;688;979;1.520;2.761;3.241;3.700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;19;359;;695;989;1.272;1.539;1.795;2.040;;695;989;1.535;2.788;3.273;3.736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;20;403;;700;997;1.282;1.552;1.810;2.057;;700;997;1.548;2.812;3.301;3.768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;21;396;;706;1.005;1.292;1.564;1.824;2.073;;706;1.005;1.560;2.834;3.326;3.797;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;22;388;;711;1.013;1.302;1.576;1.838;2.088;;711;1.013;1.571;2.855;3.351;3.825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;23;370;;716;1.019;1.310;1.586;1.850;2.102;;716;1.019;1.582;2.874;3.373;3.851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;24;326;;720;1.025;1.318;1.595;1.861;2.114;;720;1.025;1.591;2.890;3.393;3.873;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;1;327;;723;1.029;1.323;1.602;1.868;2.123;;723;1.029;1.597;2.902;3.406;3.888;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;2;325;;725;1.032;1.327;1.607;1.874;2.129;;725;1.032;1.602;2.911;3.417;3.900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;3;339;;727;1.035;1.331;1.610;1.878;2.134;;727;1.035;1.606;2.918;3.425;3.910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;4;339;;728;1.037;1.333;1.613;1.882;2.138;;728;1.037;1.609;2.923;3.431;3.917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;5;355;;729;1.038;1.335;1.616;1.884;2.141;;729;1.038;1.611;2.927;3.436;3.922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;6;377;;730;1.039;1.336;1.616;1.885;2.142;;730;1.039;1.612;2.929;3.438;3.924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;7;531;;730;1.039;1.336;1.617;1.886;2.142;;730;1.039;1.612;2.929;3.438;3.925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;8;601;;729;1.038;1.335;1.616;1.884;2.141;;729;1.038;1.611;2.927;3.436;3.922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;9;667;;728;1.037;1.333;1.614;1.882;2.139;;728;1.037;1.609;2.924;3.432;3.918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;10;657;;727;1.035;1.331;1.611;1.879;2.135;;727;1.035;1.606;2.918;3.426;3.911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;11;641;;725;1.032;1.327;1.606;1.873;2.129;;725;1.032;1.602;2.910;3.416;3.899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;12;618;;722;1.028;1.322;1.600;1.866;2.120;;722;1.028;1.595;2.898;3.402;3.883;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;13;602;;718;1.023;1.315;1.591;1.856;2.109;;718;1.023;1.587;2.883;3.384;3.863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;14;589;;714;1.016;1.307;1.582;1.845;2.096;;714;1.016;1.577;2.866;3.364;3.840;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;15;579;;709;1.009;1.298;1.570;1.832;2.081;;709;1.009;1.566;2.845;3.340;3.812;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;16;552;;704;1.002;1.289;1.560;1.819;2.067;;704;1.002;1.555;2.826;3.317;3.786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;17;534;;699;995;1.280;1.549;1.806;2.053;;699;995;1.544;2.806;3.294;3.760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;18;519;;694;989;1.271;1.538;1.794;2.038;;694;989;1.534;2.787;3.271;3.734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;19;455;;690;982;1.262;1.528;1.782;2.025;;690;982;1.523;2.768;3.249;3.709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;20;493;;686;976;1.255;1.519;1.771;2.013;;686;976;1.514;2.751;3.230;3.687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;21;482;;682;971;1.248;1.511;1.762;2.002;;682;971;1.506;2.737;3.212;3.667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;22;465;;678;966;1.242;1.503;1.753;1.992;;678;966;1.499;2.723;3.196;3.648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;23;438;;675;961;1.236;1.496;1.745;1.983;;675;961;1.492;2.710;3.181;3.631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;24;373;;673;958;1.231;1.490;1.738;1.975;;673;958;1.486;2.699;3.168;3.617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;1;364;;671;955;1.228;1.486;1.733;1.969;;671;955;1.482;2.692;3.159;3.606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;2;354;;669;953;1.225;1.482;1.729;1.964;;669;953;1.478;2.685;3.152;3.598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;3;361;;668;950;1.222;1.479;1.725;1.960;;668;950;1.475;2.679;3.145;3.590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;4;354;;666;948;1.219;1.475;1.720;1.955;;666;948;1.471;2.672;3.136;3.580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;5;362;;664;945;1.215;1.471;1.716;1.949;;664;945;1.467;2.665;3.128;3.571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;6;377;;662;943;1.212;1.467;1.711;1.944;;662;943;1.463;2.657;3.119;3.560;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;7;524;;661;940;1.209;1.463;1.706;1.939;;661;940;1.459;2.651;3.111;3.551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;8;588;;658;937;1.204;1.458;1.700;1.932;;658;937;1.454;2.640;3.099;3.538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;9;644;;655;933;1.200;1.452;1.693;1.924;;655;933;1.448;2.630;3.087;3.524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;10;623;;652;929;1.194;1.445;1.685;1.914;;652;929;1.441;2.617;3.072;3.506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;11;591;;649;923;1.187;1.437;1.676;1.904;;649;923;1.433;2.603;3.055;3.487;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;12;555;;645;918;1.180;1.428;1.666;1.893;;645;918;1.424;2.588;3.037;3.467;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;13;533;;641;913;1.174;1.421;1.657;1.883;;641;913;1.417;2.573;3.021;3.448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;14;505;;638;908;1.167;1.413;1.647;1.872;;638;908;1.409;2.559;3.004;3.428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;15;500;;634;903;1.160;1.404;1.638;1.861;;634;903;1.400;2.544;2.986;3.408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;16;471;;631;898;1.154;1.397;1.629;1.851;;631;898;1.393;2.531;2.970;3.391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
